ranked_id	hap	fit	model
H232	10011000101001110101	0.7492126233326781	nk
H233	01011000111101011001	0.7490092379043843	nk
H234	10110000110001010101	0.7487439402589676	nk
H235	00110100011001001100	0.7484809003420335	nk
H236	00011100101111011000	0.7482046485452056	nk
H237	11111000100000011100	0.7479399968412128	nk
H238	01010100010001010001	0.7476562956442139	nk
H239	11110001100010000100	0.7473597954914287	nk
H240	00110101010001001101	0.747144331271529	nk
H241	00011010000100001100	0.746910926695968	nk
H242	10011011001100011100	0.746631329873198	nk
H243	01111000101001110101	0.7463493098756573	nk
H244	10110100110001001100	0.7461195016329835	nk
H245	00111000000011100000	0.7458524105474961	nk
H246	11111000101011101101	0.7456154478891629	nk
H247	10101000010001001101	0.7453696643836868	nk
H248	11000000001001010100	0.7451397134553293	nk
H249	10111001001101101110	0.7448817918434416	nk
H250	11011100100001000100	0.7446789600648076	nk
H251	01011000010001011101	0.7444477178377679	nk
H252	00110100000000001011	0.744242800400313	nk
H253	11010100001001001110	0.7439994648876115	nk
H254	00110100001000000100	0.7437764296663663	nk
H255	10100000100000001101	0.743559210621733	nk
H256	00110010000110000100	0.7433467577027217	nk
H257	01110001100011100101	0.7431058754260472	nk
H258	11110000000010011101	0.7429226582381441	nk
H259	00010010000010001000	0.7427246361886409	nk
H260	00010000110101000000	0.7424991411122533	nk
H261	01110100100111001001	0.742271941801184	nk
H262	10110010001111101101	0.7420138561433274	nk
H263	01111100000011010100	0.741789227432264	nk
H264	01111000100010011000	0.7415600514887726	nk
H265	10011001110001011100	0.7413202148625363	nk
H266	00110101100101111111	0.7411298216598062	nk
H267	10011001111001001100	0.7408916860999959	nk
H268	01010100100001110001	0.7406426709397039	nk
H269	10110001010001000101	0.7404038027547389	nk
H270	01110100001000001101	0.7401775752591881	nk
H271	00011100101001000101	0.7399438783446415	nk
H272	00011001000100001101	0.7397205665163924	nk
H273	10110000000011110101	0.7395192675247734	nk
H274	10010000100100111100	0.7393013422098226	nk
H275	01110001000000111000	0.7390469413880993	nk
H276	01110101001001101110	0.7388362415148944	nk
H277	00100001011001001001	0.7386000693195183	nk
H278	10010101101001011000	0.7384179618977212	nk
H279	00110000011001010100	0.7381903593473608	nk
H280	10110100011001001111	0.7379704523882008	nk
H281	00011000011011011000	0.7377324828640387	nk
H282	00111000001101111111	0.737552504291835	nk
H283	01100000000000010001	0.7373545747496112	nk
H284	11110010101010011100	0.7371433839508433	nk
H285	01111001000100001101	0.7369261376984172	nk
H286	10011000110001010101	0.7367397799888645	nk
H287	10111101001000011100	0.7365333550919553	nk
H288	10011000000110011101	0.7363224749618981	nk
H289	01100001000101010000	0.7361286775103062	nk
H290	10011010000000011101	0.7359074680727644	nk
H291	01110100100011110110	0.7357164384764686	nk
H292	00011000101110011101	0.7355047276005967	nk
H293	01010100000001110110	0.7352843388185808	nk
H294	01011010100001000101	0.7350712503241574	nk
H295	10000000001001010101	0.7348865353387005	nk
H296	00111000001101011011	0.7346604383823503	nk
H297	10011101100001011111	0.7344423940270208	nk
H298	00011100100001101111	0.7342473329808678	nk
H299	01111010101001000001	0.7340624562923008	nk
H300	01110100101101111011	0.7338470096096209	nk
H301	01011001101000011000	0.7336213331054099	nk
H302	01010000001010000000	0.7334201422750721	nk
H303	11110100000010000100	0.7332078404381037	nk
H304	11110001100101000001	0.7329979750933577	nk
H305	01111000000101110011	0.7327768535769198	nk
H306	01100000110100000100	0.7325842134051429	nk
H307	01011011100101010000	0.7323812388898193	nk
H308	00000001100101010001	0.7321612849935906	nk
H309	01000000110100010100	0.731922917451387	nk
H310	00000100100000011000	0.7317029368505987	nk
H311	11011000100001011000	0.7315346577769622	nk
H312	00010000100111110001	0.7313445605270962	nk
H313	00111100101101111010	0.7311362972809959	nk
H314	00110100010101001100	0.730950850665479	nk
H315	01010000101101011011	0.730741956690232	nk
H316	10111000000011100100	0.7305486490159581	nk
H317	11110000110011001100	0.7303275957332294	nk
H318	01100001100101001101	0.730151148916823	nk
H319	00110001011101010001	0.7299559750062542	nk
H320	01011001000011001100	0.7297905260682346	nk
H321	11010101100011011101	0.7295853853012829	nk
H322	01010100101001000111	0.7293921497009629	nk
H323	10111100100001100110	0.7291836956035476	nk
H324	00011101100000011001	0.728981465413029	nk
H325	00110010000011010100	0.728786436222884	nk
H326	10111100001011111100	0.7286138674736942	nk
H327	00010101100100011100	0.7284420171228153	nk
H328	10110000100110111100	0.728274106530492	nk
H329	01110010000001110101	0.7281111726590767	nk
H330	01110010000000100100	0.7279400304352543	nk
H331	00011001000111000000	0.7277434984966541	nk
H332	11110101000011010101	0.7275408556409071	nk
H333	01110001001111101100	0.7273791976027377	nk
